WORD,DEFINITION / SYNONYM,TRANSLATION
a birthday present,,מתנת יום הולדת
a couple of,,זוג של
a good/great deal,,במידה רבה
a little,,קצת
"A little sugar, please.",,"מעט סוכר, בבקשה."
a number of,,מספר של
ability,,יכולת
able,,יכול
absent,,נעדר
absolutely,,בהחלט
accept,,לקבל
according to,,לפי
account,,חשבון
act ,(v),פעולה
active,,פעיל
activity,,פעילות
actually,,"למעשה, בעצם"
add,,להוסיף
admit,,להודות
adult,,בוגר/ת/ים/ות
advantage,,יתרון
advertise,,לפרסם
advertisement,,פרסומת
advice,,ייעוץ
advise,,לייעץ
afford,,להרשות
after all,,אחרי הכל
against,,מול
ahead (of),,מלפני 
aim ,(v),מטרה
air,,אוויר
alive,,בחיים
all the time,,כל הזמן
along,,יחד
along with,,ביחד עם
alphabet,,אלף בית
alternative,,חלופה
although,,למרות ש
altogether,,לגמרי
among,,בין
amount,,כמות
an article in a newspaper,,מאמר בעיתון
and so on,,וכן הלאה
announcement,,הודעה
another,,אחר
any time,,בכל עת
anywhere / any place,,בכל מקום / בכל מקום
apart from,,חוץ מ
apartment,,דירה
apologize,,להתנצל
appearance,,מראה חיצוני
apply to,,חל
Arab,,ערבי
area,,אזור
argue,,להתווכח
argument,,טיעון
army,,צבא
around,,סביב
arrange,,לארגן
arrangement,,הסדר
arrive (at),,להגיע ל...
art,,אומנות
article,,מאמר
as,,כפי ש...
as a result of,,כתוצאה מכך
as far as,,כל עוד
as if,,כאילו
as long as,,כל עוד
as soon as,,ברגע ש
as usual,,כרגיל
as…as,,כמו
asleep,,ישן
assessment,,הערכה
at first,,בתחילה
at last,,לבסוף
at once,,בבת אחת
at present,,בהווה
at the same time,,באותו הזמן
at work,,בעבודה
available,,זמין
awake,,ער
aware,,מודע
awful,,נורא
base ,(v),בסיס
based on,,מבוסס על
basic,,בסיסי
basis,,בסיס
be likely to,,להיות סביר
be used to,,להיות רגיל ל...
beat,,להביס
become,,הפכו
Beduin / Bedouin,,בדואי / בדואי
behave,,להתנהג
behavior,,התנהגות
belong to,,שייך ל
below,,מתחת
beyond,,מעבר
blame ,(v),אשמה
blood,,דם
blow ,(v),לנשוף
boat,,סירה
border,,גבול
both… and,,גם.... וגם... 
